bedroom,bathrooms,area,furnishing,floor_number,parking,powerbackup,gate_community,location,rent,location_encoded,furnishing_encoded
2,2,0.0,Semifurnished,9,1,0,No,Pegasus Megapolis Mystic,16000.0,241,1
2,2,0.0,Semifurnished,2,1,0,No,Venkatesh Graffiti,21000.0,325,1
1,1,0.0,Furnished,0,1,0,Yes,Lohegaon,4500.0,162,0
2,2,850.0,Unfurnished,2,1,2,Yes,K Raheja Vistas Premiere,23000.0,115,2
1,1,0.0,Furnished,0,0,0,No,Warje,10000.0,336,0
2,2,0.0,Unfurnished,9,1,0,No,Megapolis Sparklet,16000.0,195,2
1,1,555.0,Unfurnished,0,0,0,No,Keshav Nagar,7600.0,133,2
2,2,900.0,Furnished,6,1,1,Yes,Bramhacorp F Residences,35000.0,45,0
1,1,0.0,Unfurnished,0,0,0,No,Kharadi,6000.0,134,2
2,2,1000.0,Furnished,1,1,0,Yes,5 Star Royal Entrada,23000.0,0,0
2,2,810.0,Semifurnished,5,1,2,Yes,Paranjape Yuthika,25000.0,237,1
1,2,0.0,Unfurnished,0,0,0,No,Thite Nagar,10200.0,315,2
2,1,0.0,Semifurnished,1,0,0,No,Laxmi Nagar,13000.0,159,1
2,2,980.0,Furnished,2,1,0,No,Runwal Seagull,18000.0,282,0
2,2,870.0,Semifurnished,6,1,2,No,Bramha Sun City Phase 2,23000.0,44,1
2,2,821.0,Unfurnished,2,1,1,No,7 Plumeria Drive,17000.0,1,2
4,5,0.0,Furnished,5,1,2,Yes,Marvel Zephyr,55000.0,192,0
1,1,0.0,Unfurnished,1,0,0,No,Pimple Gurav,7000.0,246,2
1,1,525.0,Unfurnished,1,1,2,Yes,Amrut Ganga,13000.0,22,2
1,1,400.0,Furnished,4,1,0,Yes,Amanora Park Town,11500.0,18,0
3,2,1044.0,Unfurnished,1,1,0,No,Megapolis Sangria Towers,18000.0,194,2
1,2,600.0,Furnished,5,0,1,Yes,Hermes Heritage,20000.0,107,0
3,3,1100.0,Semifurnished,5,1,1,Yes,Fortaleza Apartment,45000.0,70,1
1,2,750.0,Semifurnished,1,3,0,No,On Req,14000.0,226,1
4,4,2100.0,Semifurnished,1,2,2,Yes,Kolte Patil 24K Opula,55000.0,141,1
3,2,1320.0,Furnished,6,1,2,Yes,Nyati Evara,24000.0,223,0
2,2,1000.0,Furnished,8,1,1,Yes,Gera Park View 1,25000.0,86,0
